pitcher,pitch_type,pitches,avg_velocity,avg_release_extension,avg_pfx_x,avg_pfx_z,swings,whiffs,out_of_zone_pitches,chases,batted_balls,hard_hits,avg_run_value,whiff_rate,chase_rate,hard_hit_rate
663978,CH,35,84.40285714285714,7.114285714285714,-1.3908571428571428,0.5414285714285714,16,2,23,6,14,4,0.005428571428571432,0.125,0.2608695652173913,0.2857142857142857
594902,FF,35,89.77714285714285,6.9,-0.8694285714285714,1.362,14,2,15,4,10,4,0.0025142857142857115,0.14285714285714285,0.26666666666666666,0.4
666277,SI,35,95.53714285714287,6.314285714285714,-1.3757142857142857,0.4002857142857143,17,4,15,5,13,5,-0.027142857142857146,0.23529411764705882,0.3333333333333333,0.38461538461538464
543294,CH,35,79.16571428571429,5.548571428571428,-0.9231428571428572,0.818,12,2,23,5,10,4,-0.05191428571428571,0.16666666666666666,0.21739130434782608,0.4
805123,FF,35,93.88857142857142,6.651428571428572,-1.089142857142857,1.4768571428571429,20,8,11,0,11,5,-0.05357142857142857,0.4,0.0,0.45454545454545453
700669,FF,34,96.50882352941177,6.420588235294118,-0.4420588235294117,1.2773529411764706,22,6,13,7,15,2,0.06447058823529413,0.2727272727272727,0.5384615384615384,0.13333333333333333
683409,FF,34,96.26470588235294,6.338235294117647,-1.0682352941176472,0.7655882352941177,14,0,13,2,13,4,0.028470588235294116,0.0,0.15384615384615385,0.3076923076923077
680732,FF,34,94.23823529411764,6.947058823529411,-0.2723529411764706,1.5841176470588234,11,4,18,2,7,2,0.018470588235294117,0.36363636363636365,0.1111111111111111,0.2857142857142857
676664,FF,34,91.34705882352942,6.529411764705882,0.9479411764705882,1.1338235294117647,15,1,10,2,14,3,0.018294117647058822,0.06666666666666667,0.2,0.21428571428571427
571510,FF,34,93.18529411764706,6.367647058823529,1.1126470588235293,1.1041176470588234,14,1,15,2,13,2,0.012647058823529414,0.07142857142857142,0.13333333333333333,0.15384615384615385
700270,FF,34,94.60000000000001,6.097058823529412,-0.6614705882352941,1.3879411764705882,17,0,16,2,16,8,-0.009852941176470589,0.0,0.125,0.5
669160,ST,34,85.43529411764706,6.458823529411765,1.4255882352941176,-0.16852941176470587,13,4,22,5,7,4,-0.02176470588235294,0.3076923076923077,0.22727272727272727,0.5714285714285714
657612,SI,34,88.66470588235293,6.661764705882353,1.388529411764706,-0.525,15,1,12,3,12,6,-0.0371764705882353,0.06666666666666667,0.25,0.5
547179,FF,34,94.33235294117648,5.882352941176471,-0.8229411764705883,1.2632352941176472,14,0,16,3,14,3,-0.13126470588235295,0.0,0.1875,0.21428571428571427
669211,SL,33,85.46969696969697,5.627272727272727,-0.3187878787878788,0.22272727272727272,18,7,13,5,11,2,0.07021212121212121,0.3888888888888889,0.38461538461538464,0.18181818181818182
694477,FC,33,88.36969696969696,6.327272727272728,-0.025454545454545455,1.1527272727272726,18,3,17,7,15,5,0.04839393939393939,0.16666666666666666,0.4117647058823529,0.3333333333333333
673540,FO,33,83.78787878787878,6.451515151515152,-0.7727272727272727,0.04787878787878788,16,5,24,9,9,1,0.045848484848484854,0.3125,0.375,0.1111111111111111
695549,SL,33,88.93030303030302,6.106060606060606,0.49333333333333335,0.10848484848484849,12,4,15,5,8,1,0.03760606060606061,0.3333333333333333,0.3333333333333333,0.125
676664,ST,33,77.13333333333334,6.415151515151515,-1.2336363636363636,0.4627272727272727,19,3,14,6,14,3,0.033363636363636366,0.15789473684210525,0.42857142857142855,0.21428571428571427
